what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1340093668530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093671178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093696217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340093705133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093714250
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093725154
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1340093730498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340093732456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340093739073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340093741584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1340093760641
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1340093773415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340093775903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1340093776619
executed,command,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui.format.active.elements",1340093777485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340093791881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340093806170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340093817392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340093824335
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340093825835
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340093837918
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093841258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093905761
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1340093907974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1340093917207
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093917224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093937708
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1340093951318
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093955082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093959112
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340093960494
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340093967584
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340094031319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340094034233
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340094078208
activated,editor,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.editors.CommonXmlEditor",1340094084730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1340094094583
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340094100465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1340094106340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340094110488
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1340094138907
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340094156935
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340094160487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340094195943
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1340094254053
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340094256475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1340094258275
